id;en;de;fr;it;es;zh;ja;ko;pt;pl;ru;tr
UNSTABLE_POTION_DESC;30% chance to explode on enemy hit leaving a poisoned area behind. Poison deals 10 damage each 3 seconds for maximum duration of 9 seconds. ;30% Chance, bei einem Treffer des Gegners zu explodieren und einen vergifteten Bereich zu hinterlassen. Das Gift verursacht alle 3 s 10 Schaden für eine maximale Dauer von 9 s. ;30% de chances d'exploser sur un ennemi touché, laissant une zone empoisonnée derrière lui. Le poison inflige 10 points de dégâts toutes les 3 secondes pour une durée maximale de 9 secondes. ;30% di possibilità di esplodere quando il nemico viene colpito, lasciando dietro di sé un'area avvelenata. Il veleno infligge 10 danni ogni 3 secondi per una durata massima di 9 secondi. ;30% de probabilidad de explotar al golpear al enemigo dejando un área envenenada. El veneno inflige 10 de daño cada 3 segundos con una duración máxima de 9 segundos. ;30%的几率在被击中的敌人身上爆炸，留下一个中毒的区域。毒药每3秒造成10次伤害，最大持续时间为9秒。;30%の確率で敵に当たると爆発し、後ろに毒のエリアを残す。毒は3秒ごとに10ダメージを与え、最大9秒間持続する。;적에게 적중 시 30%의 확률로 폭발하여 독이 든 구역을 남깁니다. 독이 3초마다 10씩 최대 9초 동안 피해를 줍니다. ;30% de chance de explodir no ataque inimigo, deixando uma área envenenada para trás. O veneno causa 10 danos a cada 3 segundos durante 9 segundos, no máximo. ;30% szans na eksplozję przy trafieniu wroga, pozostawiając za sobą zatruty obszar. Trucizna zadaje 10 pkt. obrażeń co 3 sek. przez maksymalnie 9 sek.;С вероятностью 30% взрывается при попадании в противника, оставляя после себя отравленную область. Яд наносит 10 ед. урона каждые 3 сек. с максимальной продолжительностью 9 сек.;30 ihtimalle düşman vurulduğunda patlar ve arkasında zehirli bir alan bırakır. Zehir, 9 saniyelik maksimum süre boyunca her 3 saniyede 10 hasar verir.
ELDER_CLUB;Elder Club;Uralter Knüppel;Club des aînés;Club degli anziani;Club de ancianos;长者之棍;エルダークラブ;장로 클럽;Clube dos Anciãos;Klub Starszych;Клуб старейшин;Yaşlılar Kulübü
SPEAR;Spear;Speer;Lance;Lancia;Lanza;长矛;スピア;창;Lança;Włócznia;Копье;Mızrak
SPEAR_DESC;-;-;-;-;-;-;-;-;-;-;-;-
EMERALD_STAFF;Emerald Staff;Smaragdstab;Personnel d'Emeraude;Personale di smeraldo;Personal de Emerald;翡翠法杖;エメラルド・スタッフ;에메랄드 지팡이;Pessoal Esmeralda;Emerald Staff;Изумрудный персонал;Zümrüt Personel
EMERALD_STAFF_DESC;Each attack summons a spider companion. Lasting 6 seconds. Spiders count as companions. You have no projectiles.;Jeder Angriff beschwört einen Spinnen-Gefährten. Hält 6 Sekunden an. Spinnen zählen als Gefährten. Du hast keine Wurfgeschosse.;Chaque attaque invoque un compagnon araignée. Durée 6 secondes. Les araignées comptent comme des compagnons. Vous n'avez pas de projectiles.;Ogni attacco evoca un compagno ragno. La durata è di 6 secondi. I ragni contano come compagni. Non ha proiettili.;Cada ataque invoca a una araña de compañía. Dura 6 segundos. Las arañas cuentan como compañeros. No tienes proyectiles.;每次攻击都会召唤出一个蜘蛛同伴。持续6秒。蜘蛛算作同伴。你没有投射物。;各攻撃は、クモの仲間を召喚する。持続時間は6秒。クモはコンパニオンとしてカウントされる。あなたには投擲物がない。;공격할 때마다 거미 동료를 소환합니다. 6초 동안 지속됩니다. 거미는 동료로 간주됩니다. 투사체가 없습니다.;Cada ataque convoca um companheiro aranha. Duração: 6 segundos. As aranhas contam como companheiras. Não têm projécteis.;Każdy atak przywołuje pajęczego towarzysza. Trwa 6 sekund. Pająki liczą się jako towarzysze. Nie masz pocisków.;Каждая атака вызывает паука-компаньона. Длительность 6 секунд. Пауки считаются за компаньонов. У вас нет снарядов.;Her saldırı bir örümcek yoldaşı çağırır. 6 saniye sürer. Örümcekler yoldaş olarak sayılır. Merminiz yok.
ELDER_CLUB_DESC;Very powerful but slow and heavy weapon.;Sehr starke, aber langsame und schwere Waffe.;Arme très puissante mais lente et lourde.;Arma molto potente ma lenta e pesante.;Arma muy potente pero lenta y pesada.;非常强大，但是缓慢而沉重的武器。;非常に強力だが、スピードが遅く、重い武器。;매우 강력하지만 느리고 무거운 무기입니다.;Muito poderosa mas lenta e pesada arma.;Bardzo potężna, ale powolna i ciężka broń.;Очень мощное, но медленное и тяжелое оружие.;Çok güçlü ama yavaş ve ağır bir silah.
LIGHTNING_STAFF;Lightning Staff;Blitz-Stab;Bâton de la foudre;Personale di fulminazione;Personal de rayos;闪电法杖;ライトニングスタッフ;번개 지팡이;Cajado relâmpago;Lightning Staff;Персонал Молнии;Yıldırım Personeli
LIGHTNING_STAFF_DESC;Projectile hits create 2 replicating projectiles which target nearby enemies.;Projektil-Treffer erzeugen 2 sich replizierende Projektile, die auf Gegner in der Nähe zielen.;Les coups de projectiles créent 2 projectiles répliquants qui ciblent les ennemis proches.;I colpi di proiettile creano 2 proiettili replicanti che colpiscono i nemici vicini.;Los impactos de los proyectiles crean 2 proyectiles replicantes que apuntan a los enemigos cercanos.;击中后，会产生2个复制的投射物，瞄准最近的敌人。;近くにいる敵をターゲットする2つの複製弾を発射する。;투사체에 적중하면 복제 투사체 2개를 생성하여 근처의 적을 공격합니다.;Acertos de projécteis criam 2 projécteis replicadores que têm como alvo inimigos próximos.;Trafienia pociskami tworzą 2 replikujące się pociski, które celują w pobliskich wrogów.;При попадании снаряда создаются 2 повторяющихся снаряда, которые попадают в ближайших врагов.;Mermi isabetleri, yakındaki düşmanları hedef alan 2 çoğalan mermi oluşturur.
RIPPING_AXE;Ripping Axe;Reißende Axt;Hache d'arrachage;Ascia da strappo;Hacha de desgarrar;撕裂的斧头;リッピングアックス;찢어지는 도끼;Machado de Maturação;Siekiera rozpruwająca;Разрывной топор;Yırtma Baltası
RIPPING_AXE_DESC;Applys bleeding to enemies.;Verursacht Blutung bei Gegnern.;Applique le saignement aux ennemis.;Applica il sanguinamento ai nemici.;Aplica sangrado a los enemigos.;对敌人施加出血。;敵に出血を与える。;적에게 출혈을 입힙니다.;Aplica-se a sangrar aos inimigos.;Powoduje krwawienie u wrogów.;Применяет кровотечение к врагам.;Düşmanlara kanama uygular.
ICE_FOCUS;Ice Focus;Eis-Fokus;Foyer de glace;Fuoco di ghiaccio;Foco de hielo;寒冰法球;アイスフォーカス;아이스 포커스;Foco no gelo;Ice Focus;Ледяной фокус;Buz Odağı
ICE_FOCUS_DESC;Shoots two additional projectiles in a random direction.;Schießt zwei zusätzliche Projektile in eine zufällige Richtung.;Lance deux projectiles supplémentaires dans une direction aléatoire.;Spara due proiettili aggiuntivi in una direzione casuale.;Dispara dos proyectiles adicionales en una dirección aleatoria.;攻击时，向随机方向发射2个额外的投射物。;ランダムな方向に2つの弾丸を追加で発射する。;발사체 두 발을 무작위 방향으로 추가로 발사합니다.;Dispara dois projécteis adicionais numa direcção aleatória.;Wystrzeliwuje dwa dodatkowe pociski w losowym kierunku.;Выстреливает два дополнительных снаряда в случайном направлении.;Rastgele bir yöne iki ek mermi fırlatır.
BLEEDING_STAR;Bleeding Star;Blutender Stern;Étoile sanglante;Stella sanguinante;Estrella sangrante;腥红之星;ブリーディングスター;블리딩 스타;Estrela Sangrenta;Bleeding Star;Кровоточащая звезда;Kanayan Yıldız
BLEEDING_STAR_DESC;Causes bleeding on enemy hits.;Verursacht Blutung bei gegnerischen Treffern.;Provoque des saignements sur les ennemis touchés.;Provoca un'emorragia sui colpi dei nemici.;Provoca una hemorragia en los golpes del enemigo.;击中时，对敌人造成流血状态。;敵に当たると出血させる。;적에게 출혈을 일으킵니다.;Provoca hemorragias nos golpes do inimigo.;Powoduje krwawienie po trafieniu wroga.;Вызывает кровотечение при попадании в противника.;Düşman vuruşlarında kanamaya neden olur.
AMBER;Ember;Glut;Braise;Braci;Brasas;火焰;エンバー;엠버;Ember;Ember;Ember;Kor
AMBER_DESC;Sets enemies on fire.;Setzt Gegner in Brand.;Met le feu aux ennemis.;Dà fuoco ai nemici.;Prende fuego a los enemigos.;击中时，使敌人着火。;敵に火をつける;적을 불태웁니다.;Incendeia os inimigos.;Podpala wrogów.;Поджигает врагов.;Düşmanları ateşe verir.
SLINGSHOT;Slingshot;Schleuder;Fronde;Fionda;Tirachinas;弹弓;スリングショット;새총;Slingshot;Proca;Рогатка;Sapan
SLINGSHOT_DESC;Shoots two aditional projectiles in the aimed direction.;Schießt zwei zusätzliche Projektile ab.;Lance deux projectiles supplémentaires.;Spara due proiettili aggiuntivi.;Dispara dos proyectiles adicionales.;攻击时，发射2个额外的投射物。;狙った方向に追加で2発発射する。;조준한 방향으로 추가 투사체 두 발을 발사합니다.;Dispara dois projécteis adicionais na direcção pretendida.;Wystrzeliwuje dwa dodatkowe pociski w wybranym kierunku.;Выстреливает два дополнительных снаряда в направлении цели.;Hedeflenen yöne iki ek mermi fırlatır.
STING;Sting;Stachel;Piqûre;Pungiglione;Aguijón;刺;スティング;스팅;Ferrão;Sting;Стинг;Sting
STING_DESC;-;-;-;-;-;-;-;-;-;-;-;-
GNARLY_MACE;Gnarly Mace;Knorrige Keule;Massue noueuse;Mazza nodosa;Maza nudosa;粗糙的狼牙棒;グナーリーメイス;거친 메이스;Gnarly Mace;Gnarly Mace;Гнарли Мейс;Gnarly Mace
GNARLY_MACE_DESC;-;-;-;-;-;-;-;-;-;-;-;-
CINNAMON_STAR;Cinnamon Star;Zimtstern;Étoile à la cannelle;Stella alla cannella;Estrella de Canela;肉桂之星;シナモンスター;시나몬 스타;Estrela de canela;Cinnamon Star;Звезда корицы;Tarçın Yıldızı
CINNAMON_STAR_DESC;Projectiles return to you.;Projektile kehren zu dir zurück.;Les projectiles reviennent vers vous.;I proiettili tornano a voi.;Los proyectiles vuelven a ti.;投射物回到你身边。;弾丸が自分に戻る。;투사체가 자신에게 돌아옵니다.;Os projécteis voltam para si.;Pociski wracają do ciebie.;Снаряды возвращаются к вам.;Mermiler size geri döner.
SUGAR_STICK;Sugar Cane;Zuckerstange;Canne à sucre;Canna da zucchero;Caña de azúcar;甘蔗;シュガーケーン;사탕수수;Cana-de-açúcar;Trzcina cukrowa;Сахарный тростник;Şeker Kamışı
SUGAR_STICK_DESC;-;-;-;-;-;-;-;-;-;-;-;-
FROZEN_VESSEL;Frozen Vessel;Gefrorenes Gefäß;Vaisseau gelé;Vaso ghiacciato;Recipiente helado;冰冻容器;凍った器;얼어붙은 용기;Recipiente Congelado;Zamrożony statek;Замороженное судно;Dondurulmuş Gemi
FROZEN_VESSEL_DESC;Your melee hits cause a frost splash, freezing all surrounding enemies. Area scales with AoE size.;Deine Nahkampftreffer verursachen einen Frostspritzer, der alle umstehenden Gegner einfriert. Der Bereich skaliert mit der AoE-Größe.;Vos coups de mêlée provoquent une éclaboussure de givre qui gèle tous les ennemis environnants. La zone est proportionnelle à la taille de l'AoE.;I colpi in mischia provocano uno schizzo di gelo che congela tutti i nemici circostanti. L'area scala con la dimensione dell'AoE.;Tus golpes cuerpo a cuerpo provocan una salpicadura de escarcha que congela a todos los enemigos circundantes. El área varía con el tamaño del AoE.;你的近战命中会造成冰霜飞溅，冻结周围所有敌人。范围随AOE大小而变化。;近接攻撃を当てると霜が飛び散り、周囲の敵を凍らせる。範囲はAoEの大きさに比例する。;근접 공격이 적중하면 서리가 튀어 주변의 모든 적을 얼려버립니다. 범위가 광역 효과 크기에 따라 확장됩니다.;Os teus golpes corpo a corpo causam um efeito de gelo, congelando todos os inimigos à volta. A área aumenta com o tamanho da área de ação.;Trafienia w zwarciu powodują rozprysk mrozu, który zamraża wszystkich okolicznych wrogów. Obszar skaluje się wraz z rozmiarem zasięgu.;Ваши удары в ближнем бою вызывают всплеск мороза, замораживающий всех окружающих врагов. Область действия зависит от размера АоЕ.;Yakın dövüş vuruşlarınız, çevredeki tüm düşmanları donduran bir buz sıçramasına neden olur. Alan, etki alanı boyutuyla ölçeklenir.
BLAZEBOLT;Blazebolt;Blazebolt;Éclair de flamme;Folgore;Blazebolt;火焰弩;ブレイズボルト;블레이즈 볼트;Raio de Fogo;Blazebolt;Blazebolt;Blazebolt
BLAZEBOLT_DESC;You projectiles become mines, staying on ground for 6 seconds.;Deine Geschosse werden zu Minen und bleiben 6 Sekunden lang am Boden liegen.;Vos projectiles se transforment en mines et restent au sol pendant 6 secondes.;I vostri proiettili diventano mine e rimangono a terra per 6 secondi.;Tus proyectiles se convierten en minas que permanecen en el suelo durante 6 segundos.;你的射弹会变成地雷，在地面上停留 6 秒。;自分の弾丸が地雷になり、6秒間地面にとどまる。;투사체가 지뢰가 되어 6초 동안 지상에 머물러 있습니다.;Seus projéteis se tornam minas, permanecendo no chão por 6 segundos.;Twoje pociski stają się minami, które pozostają na ziemi przez 6 sekund.;Ваши снаряды превращаются в мины, которые остаются на земле в течение 6 секунд.;Mermileriniz mayın haline gelir ve 6 saniye boyunca yerde kalır.
BALLISTIC_BARKWOOD;Ballistic Barkwood;Ballistisches Rindenholz;Écorce balistique;Barkwood balistico;Barkwood balístico;弹道巴克伍德;バリスティックバークウッド;탄도 나무 껍질;Barkwood Balístico;Ballistic Barkwood;Баллистическое дерево;Balistik Barkwood
BALLISTIC_BARKWOOD_DESC;Each attack shoots a piercing projectile in attack direction.;Jeder Angriff schießt ein durchdringendes Projektil in Angriffsrichtung.;Chaque attaque envoie un projectile perforant dans la direction de l'attaque.;Ogni attacco spara un proiettile perforante nella direzione dell'attacco.;Cada ataque dispara un proyectil perforante en la dirección del ataque.;每次攻击都会向攻击方向发射一枚穿透弹丸。;各攻撃は攻撃方向に貫通弾を放つ。;공격할 때마다 공격 방향으로 관통하는 투사체를 발사합니다.;Cada ataque dispara um projétil perfurante na direção do ataque.;Każdy atak wystrzeliwuje przeszywający pocisk w kierunku ataku.;Каждая атака выбрасывает пронзающий снаряд в направлении атаки.;Her saldırı, saldırı yönünde delici bir mermi fırlatır.
WOODWEAVER;Woodweaver;Woodweaver;Tisseur de bois;Tessitore di legno;Tejedor de madera;织布机;ウッドウィーバー;우드위버;Tecedor de madeira;Woodweaver;Woodweaver;Woodweaver
WOODWEAVER_DESC;Projectiles swirl around shooting position.;Projektile wirbeln um die Schussposition.;Les projectiles tournoient autour de la position de tir.;I proiettili turbinano intorno alla posizione di tiro.;Los proyectiles se arremolinan alrededor de la posición de disparo.;射弹围绕射击位置旋转。;射撃位置の周囲で弾丸が渦を巻く。;발사체가 발사 위치 주변에서 소용돌이칩니다.;Os projécteis giram em torno da posição de disparo.;Pociski wirują wokół pozycji strzeleckiej.;Снаряды закручиваются вокруг стрелковой позиции.;Mermiler atış pozisyonunun etrafında dönüyor.
EARTHSHAPER;Earthshaper;Earthshaper;Faucheur de terre;Fabbricante di terra;Cazador de tierra;土遁;アースシェイパー;대지조각사;Formador de Terra;Earthshaper;Закройщик Земли;Toprak Şekillendirici
